year,group,be_opening,be_expected_cash_flows,be_unwind,be_mortality_experience,be_lapse_experience,be_assumption_change,be_economic,be_closing,be_identity_error,be_walk_error,ra_opening,ra_release,ra_future_service_experience,ra_assumption_change,ra_closing,ra_walk_error,csm_opening,csm_accretion,csm_adj_mortality,csm_adj_lapse,csm_adj_assumptions,csm_adj_ra,csm_lc_absorbed,csm_release,csm_closing,csm_walk_error,lc_opening,lc_increase,lc_reversal,lc_closing,cu_current,cu_future,claims_a_minus_e,maintenance_a_minus_e,insurance_service_result,insurance_finance_expense
2023,LTA-G1,-10369.14061182273,-300429.91202350176,-9515.268705831493,-30.03140593331773,2596.452710047073,0.0,-4805.166404052812,-322553.0664410951,-5.820766091346741e-11,5.820766091346741e-11,32473.65981172815,-5698.704429175919,-242.2605307555059,0.0,26532.694851796725,0.0,0.0,0.0,30.03140593331773,-2596.452710047073,-0.0,242.2605307555059,2324.1607733582496,-0.0,0.0,0.0,22104.51919990549,2324.1607733582496,-0.0,24428.67997326374,109443000.0,1156055385.9443252,-11199.91202350177,3358.8000000000015,11215.655679319441,-14320.435109884305
2023,LTA-G2,-35529718.6469524,-9613506.855815794,-1355217.2602272087,-16048.556456662714,768161.76604449,0.0,189853.34964329004,-45556476.20376429,-7.450580596923828e-09,7.450580596923828e-09,3814891.659159519,130851.11988587677,-70782.77223105729,0.0,3874960.0068143383,0.0,31714826.987792872,1007262.905132302,16048.556456662714,-768161.76604449,-0.0,70782.77223105729,0.0,-2805860.8399260757,29234898.615642328,0.0,0.0,0.0,-0.0,0.0,6889642000.0,71784738039.03186,-1228656.8558157939,82926.00000000003,3820740.5758559927,-158101.00545161671
2023,LTA-G3,-138625.12524488152,-417783.3639291024,-16749.11637777744,-104.67466393299401,17093.096397878602,0.0,-945.4020879057935,-557114.5859057216,-1.1641532182693481e-10,1.1641532182693481e-10,57258.14210618644,-5572.246322931678,-1490.1077906770515,0.0,50195.78799257771,0.0,81366.98313869505,2584.215384484956,104.67466393299401,-17093.096397878602,-0.0,1490.1077906770515,0.0,-6030.196420741348,62422.6881591701,0.0,0.0,0.0,-0.0,0.0,146522000.0,1516749451.6428175,-29043.363929102397,4514.4000000000015,36131.40667277542,-15110.303081198279
2023,MP-G1,-5571.405413012681,-194577.26568145357,-5985.851835917285,-29.782871010247618,4089.1861203607696,0.0,-4665.134413504129,-206740.25409453717,0.0,2.9103830456733704e-11,22795.2133906961,-3926.666014846651,-268.7658871721651,0.0,18599.781488677283,0.0,0.0,0.0,29.782871010247618,-4089.1861203607696,-0.0,268.7658871721651,3790.637362178357,-0.0,0.0,0.0,17223.807977683322,3790.637362178357,-0.0,21014.44533986168,76530000.0,518228694.11570776,-11677.265681453566,2124.000000000001,9689.29433412186,-10650.986249421414
2023,MP-G2,-21888960.162756026,-10097504.868284818,-929331.5883691317,1898.6222304962575,469179.49815554544,0.0,-566087.695395276,-33010806.194419213,0.0,3.725290298461914e-09,2922383.3735127077,-114028.3504890874,-40150.538867186755,0.0,2768204.4841564335,0.0,18966576.78924332,602378.478826368,-1898.6222304962575,-469179.49815554544,-0.0,40150.538867186755,0.0,-2456332.7147445953,16681694.971806234,0.0,0.0,0.0,-0.0,0.0,7922912000.0,53806880671.784645,-58644.868284817785,85611.60000000003,2543394.3335185004,-893040.8049380395
2023,MP-G3,-81097.3187014583,-158291.34077108267,-6582.810041958317,274.9709626120166,5054.61925642335,0.0,42.01999722077744,-240599.8592982432,-2.9103830456733704e-11,5.820766091346741e-11,32861.299406311715,-1103.433879608936,-523.2849801629491,0.0,31234.58054653983,0.0,48236.01929514651,1531.9759728138536,-274.9709626120166,-5054.61925642335,-0.0,523.2849801629491,0.0,-5851.952749163496,39109.73727992445,0.0,0.0,0.0,-0.0,0.0,52910000.0,353607810.61955714,99128.65922891731,1465.2000000000005,-93638.47260014487,-5008.814071923686
2024,LTA-G1,-322553.0664410951,68803.12177867745,-8032.061501743025,-33.84985295450315,3588.067194436502,0.0,822.2582245459198,-257405.5305981327,2.9103830456733704e-11,-5.820766091346741e-11,26532.694851796725,-1974.6560576000775,-210.79577721800888,0.0,24347.24301697864,0.0,0.0,0.0,33.34719995546038,-3477.448098432098,-0.0,210.79577721800888,3233.305121258629,-0.0,0.0,0.0,24428.67997326374,3233.305121258629,-0.0,27661.98509452237,101821000.0,1042227182.9730195,-14486.867458277004,3199.230000000004,10028.98839461845,-7099.686834191743
2024,LTA-G2,-45556476.20376429,13185568.088706713,-980954.3894275454,9349.12756698206,648866.041773852,0.0,330036.4134917334,-32363610.921652544,1.1175870895385742e-08,-1.1175870895385742e-08,3874960.0068143383,-14699.82490612939,-76488.28739599884,0.0,3783771.89451221,0.0,29234898.615642328,998119.5639027278,-9497.900130219758,-653692.9782728255,-0.0,76488.28739599884,0.0,-2682282.008012799,26964033.580525212,0.0,0.0,0.0,-0.0,0.0,6372732000.0,64062823794.949615,334840.82156864787,78641.2800000001,2283499.7313502803,342225.8789047046
2024,LTA-G3,-557114.5859057216,148982.1351053364,-12480.868291401333,220.17641148506664,7037.303187471058,0.0,3200.6531887624296,-410155.18630406796,0.0,0.0,50195.78799257771,-1649.2459442393738,-835.3538907572511,0.0,47711.188157581084,0.0,62422.6881591701,2131.1962494622767,-236.54568815015955,-7027.617217107094,-0.0,835.3538907572511,0.0,-5205.940663115041,52919.13473101734,0.0,0.0,0.0,-0.0,0.0,133944000.0,1361560002.5241299,101910.1647462724,4228.740000000005,-99283.718138918,-7155.702159477756
2024,MP-G1,-206740.25409453717,37515.43990357565,-5194.03088429294,-34.667536754423054,7478.481763909978,0.0,-52.94625920493854,-167027.97710730386,0.0,0.0,18599.781488677283,-1826.085647104337,-678.3915267702541,0.0,16095.304314802692,0.0,0.0,0.0,33.84367877047043,-7276.987952613737,-0.0,678.3915267702541,6564.752747073013,-0.0,0.0,0.0,21014.44533986168,6564.752747073013,-0.0,27579.19808693469,68172109.75006819,433283965.6771344,-14502.416684469903,2007.3600000000026,7756.389584501225,-5046.30719018559
