cut,segment,exposure,deaths,e_deaths,a_amount,e_amount,lapse_exposure,lapses,e_lapses,ae_deaths,ae_deaths_lo,ae_deaths_hi,ae_amount,ae_amount_lo,ae_amount_hi,ae_lapses,ae_lapses_lo,ae_lapses_hi
total,all,137637,75,65.01409422049606,21284737.220227122,19338920.022453137,137562,12624,10467.9,1.1535960148215958,0.8925126587018113,1.4146793709413803,1.100616642269311,0.8326018958668344,1.3686313886717878,1.20597254463646,1.1849350024863297,1.2270100867865903
year,2023,50000,12,17.367169401087008,4039000.0,5277751.814155481,49988,3689,2999.2799999999997,0.6909588847131831,0.30001209258682565,1.0819056768395405,0.7652879753017148,0.24658020679351333,1.2839957438099163,1.2299618575124698,1.190270734452858,1.2696529805720815
year,2024,46299,29,22.189029591128815,8200788.921691971,6619799.713498644,46270,4932,4164.3,1.3069521531304016,0.8312701058991205,1.7826342003616826,1.2388273477473166,0.7801749688927719,1.6974797266018613,1.1843527123406095,1.151298592572566,1.2174068321086529
year,2025,41338,34,25.45789522828024,9044948.298535151,7441368.494799013,41304,4003,3304.32,1.3355385311756114,0.8866143129157646,1.7844627494354581,1.2154952821993597,0.7873240014742722,1.6436665629244471,1.2114444121634709,1.1739154316024343,1.2489733927245075
t,0,50000,12,17.367169401087008,4039000.0,5277751.814155481,49988,3689,2999.2799999999997,0.6909588847131831,0.30001209258682565,1.0819056768395405,0.7652879753017148,0.24658020679351333,1.2839957438099163,1.2299618575124698,1.190270734452858,1.2696529805720815
t,1,46299,29,22.189029591128815,8200788.921691971,6619799.713498644,46270,4932,4164.3,1.3069521531304016,0.8312701058991205,1.7826342003616826,1.2388273477473166,0.7801749688927719,1.6974797266018613,1.1843527123406095,1.151298592572566,1.2174068321086529
t,2,41338,34,25.45789522828024,9044948.298535151,7441368.494799013,41304,4003,3304.32,1.3355385311756114,0.8866143129157646,1.7844627494354581,1.2154952821993597,0.7873240014742722,1.6436665629244471,1.2114444121634709,1.1739154316024343,1.2489733927245075
age_band,25-34,40002,6,5.881138415516171,1532860.003681841,1749135.6252428382,39996,3647,3012.77,1.0202106422406652,0.2038721110493944,1.836549173431936,0.8763528576973721,-0.0156513920621133,1.7683571074568576,1.2105139124460214,1.1712260885127066,1.2498017363793361
age_band,35-44,44909,12,13.00320488637487,3621770.072001878,3886581.864608598,44897,4116,3416.04,0.9228494132684122,0.4006982032398463,1.445000623296978,0.9318651190605018,0.3316523490471113,1.5320778890738924,1.2049039238416412,1.1680935009339504,1.2417143467493321
age_band,45-54,44210,39,33.357154335656624,11158880.52215201,9936370.228070503,44171,4017,3362.32,1.1691644799062353,0.8022208265689694,1.5361081332435012,1.123033891252148,0.7492141865076904,1.4968535959966056,1.1947107949273121,1.1577647509102262,1.231656838944398
age_band,55+,8516,18,12.772596582948397,4971226.622391392,3766832.304531198,8498,844,676.77,1.4092670885754164,0.7582189095500792,2.0603152676007537,1.3197366435483213,0.7148461589348051,1.9246271281618377,1.2471001965217134,1.162963356736219,1.331237036307208
sex,F,62393,29,22.67257102847696,9606787.645832876,6764178.274404067,62364,5818,4744.86,1.2790785819383135,0.8135414794753177,1.7446156844013092,1.4202445967731752,0.9660450341205438,1.8744441594258066,1.2261689491365395,1.1946610441631336,1.2576768541099455
sex,M,75244,46,42.3415231920191,11677949.574394247,12574741.748049071,75198,6806,5723.04,1.0864039961762755,0.7724481966496497,1.4003597957029013,0.9286830543622131,0.5967147865559577,1.2606513221684685,1.1892281025468983,1.1609744069103554,1.2174817981834412
smoker,False,110207,51,43.00191668825419,14389869.767127533,12762749.439355833,110156,10120,8382.44,1.1859936469745884,0.8604918833807049,1.511495410568472,1.1274897964191188,0.7979736476795681,1.4570059451586697,1.2072857067870453,1.1837636185871223,1.2308077949869682
smoker,True,27430,24,22.01217753224187,6894867.453099589,6576170.583097303,27406,2504,2085.46,1.0903055803927852,0.654092498899792,1.5265186618857784,1.0484623788229324,0.5877759382053214,1.5091488194405434,1.2006943312266838,1.1536647220924579,1.2477239403609097
product,LTA,69356,42,33.05561574618684,10371000.0,9372745.047251802,69314,6387,5273.86,1.270585921693047,0.8863168199945047,1.6548550233915895,1.106506146034656,0.7222028603592969,1.490809431710015,1.2110674155172871,1.1813660830874118,1.2407687479471625
product,MP,68281,33,31.958478474309224,10913737.220227122,9966174.975201335,68248,6237,5194.04,1.0325898345419677,0.6802782313389024,1.384901437745033,1.0950778254830555,0.7211139171494373,1.469041733816674,1.2007993777483423,1.1709978414117725,1.2306009140849121
channel,broker,95903,49,45.157016908826265,13895635.058522942,13433819.841632595,95854,9678,7288.63,1.0851026784814608,0.7812739285066518,1.38893142845627,1.0343770589701629,0.7129073985445292,1.3558467193957964,1.327821552198424,1.30136684397238,1.354276260424468
channel,direct,41734,26,19.857077311669798,7389102.16170418,5905100.180820541,41708,2946,3179.27,1.3093568399776572,0.8060562741502562,1.8126574058050582,1.2513085189822182,0.7659439421366505,1.7366730958277858,0.9266278107867529,0.8931663396686418,0.9600892819048641
sa_band,150-300k,64949,36,30.444481735596895,7934734.592645599,6758948.946987067,64913,5941,4939.89,1.1824803034143088,0.7962034042989679,1.5687572025296497,1.1739598353058518,0.812941064040132,1.5349786065715716,1.2026583587893658,1.1720761696975563,1.2332405478811752
sa_band,300-500k,46779,24,22.25720263569738,8711196.219878372,8208518.786937219,46755,4290,3557.5299999999997,1.0783026237766027,0.6468917250722965,1.5097135224809088,1.0612385067256103,0.6415602595724899,1.4809167538787307,1.2058928526252766,1.169807068531399,1.241978636719154
sa_band,500k+,12774,7,5.997862824163548,3669575.0162498164,3625595.794365356,12767,1192,971.78,1.1670823767091087,0.3024956527855279,2.0316691006326897,1.0121302054555583,0.19891170127218138,1.8253487096389351,1.226615077486674,1.1569802919525018,1.296249863020846
sa_band,<150k,13135,8,6.314547025038239,969231.3914533347,745856.4941634937,13127,1201,998.6999999999999,1.266915895673697,0.3889879710702753,2.144843820277119,1.2994877688104927,0.5064047241471736,2.0925708134738117,1.2025633323320317,1.1345502393826368,1.2705764252814267
